area_data_type,geography_type,geography_id,geography_desc,total_area,mobilebb_3g_area_st_pct,mobilebb_3g_area_iv_pct,mobilebb_4g_area_st_pct,mobilebb_4g_area_iv_pct,mobilebb_5g_spd1_area_st_pct,mobilebb_5g_spd1_area_iv_pct,mobilebb_5g_spd2_area_st_pct,mobilebb_5g_spd2_area_iv_pct
Total,State,38,North Dakota,178282.102862500,0.000000000,0.000000000,0.982612189,0.789103520,0.841822323,0.359251196,0.672676677,0.246288917
Total,State,39,Ohio,116640.049207500,0.000000000,0.000000000,0.973976634,0.797323523,0.872246469,0.641391031,0.791078890,0.543142147
Total,State,40,Oklahoma,165505.797275000,0.000000000,0.000000000,0.975957028,0.810058106,0.827936637,0.509165834,0.655895549,0.311883381
Total,State,41,Oregon,264577.333475000,0.000000000,0.000000000,0.686128440,0.390457157,0.335916443,0.176105469,0.239636042,0.099729679
Total,State,42,Pennsylvania,118072.465875000,0.000973282,0.000587894,0.918978545,0.627060083,0.738981221,0.490698961,0.643191043,0.405473036
Total,State,44,Rhode Island,3928.586252500,0.000000000,0.000000000,0.997935491,0.871785935,0.915757300,0.765879293,0.803094083,0.556023273
Total,State,45,South Carolina,93576.339675000,0.000000000,0.000000000,0.979074506,0.681933610,0.793349768,0.422051126,0.627092831,0.311860782
Total,State,46,South Dakota,200078.241090000,0.012452803,0.007375656,0.958027725,0.723344979,0.745348230,0.349105445,0.598357350,0.244228457
Total,State,47,Tennessee,113521.891210000,0.000000000,0.000000000,0.883995145,0.548708975,0.610389442,0.330745221,0.481090199,0.245593590
Total,State,48,Texas,610227.196215000,0.000000000,0.000000000,0.927346944,0.615869044,0.738004247,0.382159727,0.606773603,0.288299051
Total,State,49,Utah,202661.204655000,0.015539388,0.011339834,0.700488146,0.415312467,0.481374876,0.203129499,0.380012308,0.143920470
Total,State,50,Vermont,23407.304147500,0.000000000,0.000000000,0.864181475,0.486596797,0.395004117,0.117836588,0.255594605,0.066415268
Total,State,51,Virginia,117639.654632500,0.000000000,0.000000000,0.910951514,0.533257644,0.580241950,0.305462461,0.429133601,0.212160012
Total,State,53,Washington,205089.645442500,0.000000000,0.000000000,0.725934212,0.474228186,0.529514876,0.312516916,0.427083478,0.216046786
Total,State,54,West Virginia,65105.386255000,0.000000000,0.000000000,0.664806648,0.342779577,0.438085469,0.240822593,0.324185318,0.160475591
Total,State,55,Wisconsin,161870.140705000,0.000000000,0.000000000,0.876516996,0.549024763,0.630968262,0.399453654,0.440429633,0.250219619
Total,State,56,Wyoming,246289.715490000,0.347937227,0.214008824,0.768696337,0.554775615,0.361880360,0.129202998,0.248783686,0.072621730
Total,State,60,American Samoa,1475.181662500,0.076544091,0.070189218,0.531738665,0.379435916,0.240842556,0.181149589,0.236701178,0.176436987
Total,State,66,Guam,1300.961707500,0.351874342,0.346773541,0.369686665,0.369038944,0.334547810,0.309691523,0.305805198,0.253663671
Total,State,69,Commonwealth of the Northern Mariana Islands,4690.140227500,0.056976666,0.056774541,0.058683495,0.056886833,0.018707750,0.016125048,0.017517461,0.009859187
Total,State,72,Puerto Rico,19257.940975000,0.390997101,0.348974457,0.630881146,0.524963080,0.616835311,0.541410053,0.515582782,0.297544167
Total,State,78,United States Virgin Islands,2577.380942500,0.784543708,0.784543708,0.777800482,0.775634476,0.226735870,0.169765826,0.068045282,0.011116106
Total,County,01001,"Autauga County, AL",1579.987500000,0.000000000,0.000000000,0.995333333,0.654266667,0.868866667,0.347866667,0.638800000,0.226533333
Total,County,01003,"Baldwin County, AL",5165.716465000,0.000000000,0.000000000,0.933669100,0.700236532,0.756351699,0.516475674,0.601260144,0.397883447
Total,County,01005,"Barbour County, AL",2407.058290000,0.000000000,0.000000000,0.967180116,0.562532820,0.480308069,0.139725188,0.329730439,0.103798355
Total,County,01007,"Bibb County, AL",1630.231102500,0.000000000,0.000000000,0.966014085,0.526006332,0.474316728,0.123538153,0.286683466,0.081217290
Total,County,01009,"Blount County, AL",1720.185057500,0.000000000,0.000000000,0.999142735,0.876186394,0.945257486,0.630273713,0.694201212,0.418896577
Total,County,01011,"Bullock County, AL",1655.616235000,0.000000000,0.000000000,0.991983713,0.496055478,0.281651610,0.062857870,0.182147856,0.048988421
Total,County,01013,"Butler County, AL",2025.543975000,0.000000000,0.000000000,0.843837754,0.469318773,0.544981799,0.227977119,0.384815393,0.175975039
Total,County,01015,"Calhoun County, AL",1635.287062500,0.000000000,0.000000000,0.979388084,0.731594203,0.842125604,0.599484702,0.718647343,0.481867955
Total,County,01017,"Chambers County, AL",1613.588567500,0.000000000,0.000000000,0.963770481,0.538155232,0.463542007,0.158300150,0.344800574,0.114759449
Total,County,01019,"Cherokee County, AL",1613.588567500,0.000000000,0.000000000,0.995756903,0.625040799,0.662641165,0.257001110,0.477315752,0.191853254
Total,County,01021,"Chilton County, AL",1835.524145000,0.000000000,0.000000000,0.977734420,0.645873981,0.612303455,0.217433720,0.416504074,0.153047171
Total,County,01023,"Choctaw County, AL",2344.069455000,0.000000000,0.000000000,0.999955064,0.999011414,0.412150625,0.116293700,0.282016716,0.084838681
Total,County,01025,"Clarke County, AL",3203.055992500,0.000000000,0.000000000,0.698280114,0.280936565,0.315169851,0.102930054,0.216514848,0.078266303
Total,County,01027,"Clay County, AL",1612.219245000,0.000000000,0.000000000,0.957206324,0.369985627,0.408075265,0.118907618,0.244740625,0.083039331
Total,County,01029,"Cleburne County, AL",1506.149417500,0.000000000,0.000000000,0.868802014,0.416392755,0.494929715,0.162668718,0.339114623,0.108888733
Total,County,01031,"Coffee County, AL",1788.440517500,0.000000000,0.000000000,0.993285824,0.585605748,0.581188527,0.227869721,0.358737264,0.156310737
Total,County,01033,"Colbert County, AL",1626.333800000,0.000000000,0.000000000,0.958613990,0.568329016,0.703238342,0.386334197,0.539054404,0.259715026
Total,County,01035,"Conecuh County, AL",2205.978547500,0.000000000,0.000000000,0.860573939,0.407200497,0.399417466,0.128634866,0.252160626,0.086425058
Total,County,01037,"Coosa County, AL",1757.894092500,0.000000000,0.000000000,0.959194679,0.466714602,0.471388340,0.118461262,0.278207202,0.081910240
Total,County,01039,"Covington County, AL",2721.265137500,0.000000000,0.000000000,0.950377395,0.498935553,0.534739694,0.167834333,0.351770853,0.113063673
Total,County,01041,"Crenshaw County, AL",1600.000675000,0.000000000,0.000000000,0.864516129,0.418828176,0.500197498,0.186438446,0.367676103,0.143054641
Total,County,01043,"Cullman County, AL",1989.309595000,0.000000000,0.000000000,0.998570370,0.919358255,0.970613153,0.696335910,0.662819019,0.414222175
Total,County,01045,"Dale County, AL",1488.348225000,0.000000000,0.000000000,0.985138004,0.629370134,0.743807502,0.335739561,0.511394197,0.215852795
Total,County,01047,"Dallas County, AL",2578.118270000,0.000000000,0.000000000,0.999918287,0.999591437,0.504739336,0.157051806,0.327095931,0.108024187
Total,County,01049,"DeKalb County, AL",2090.007465000,0.000000000,0.000000000,0.992742667,0.754006653,0.844874509,0.424755569,0.651648019,0.322245741
Total,County,01051,"Elmore County, AL",1733.562285000,0.000000000,0.000000000,0.998177178,0.770810548,0.958439665,0.465670191,0.795843966,0.327500304
Total,County,01053,"Escambia County, AL",2455.827237500,0.000000000,0.000000000,0.905597255,0.583572807,0.670898563,0.306626635,0.462191722,0.207248552
Total,County,01055,"Etowah County, AL",1463.911085000,0.000000000,0.000000000,0.987696071,0.814361779,0.884012088,0.612102461,0.725500072,0.488919269
Total,County,01057,"Fayette County, AL",1631.073762500,0.000000000,0.000000000,0.939554407,0.417888279,0.551113981,0.180174362,0.360865354,0.141750081
Total,County,01059,"Franklin County, AL",1681.738695000,0.000000000,0.000000000,0.961668546,0.572215959,0.754415633,0.342916197,0.489289741,0.244519604
Total,County,01061,"Geneva County, AL",1523.318615000,0.000000000,0.000000000,0.999101093,0.742359286,0.719125985,0.298229844,0.515488867,0.195685244
Total,County,01063,"Greene County, AL",1695.853250000,0.000000000,0.000000000,0.940310559,0.466397516,0.491552795,0.167391304,0.334720497,0.128633540
Total,County,01065,"Hale County, AL",1693.957265000,0.000000000,0.000000000,0.964121378,0.522012188,0.561932595,0.184056709,0.372777018,0.121626663
Total,County,01067,"Henry County, AL",1513.944022500,0.000000000,0.000000000,0.972030891,0.525151325,0.480066792,0.152786475,0.312878314,0.092673763
Total,County,01069,"Houston County, AL",1544.595780000,0.000000000,0.000000000,0.991543917,0.790507365,0.901732133,0.563147845,0.754773595,0.412984179
Total,County,01071,"Jackson County, AL",3023.253415000,0.000000000,0.000000000,0.805762665,0.496481081,0.551808236,0.239112257,0.417078949,0.174796181
Total,County,01073,"Jefferson County, AL",2947.940677500,0.000000000,0.000000000,0.997677493,0.844034730,0.927323400,0.733697788,0.823239361,0.610604924
Total,County,01075,"Lamar County, AL",1561.659645000,0.000000000,0.000000000,0.934844193,0.413058141,0.538176177,0.174153514,0.350667746,0.126669365
Total,County,01077,"Lauderdale County, AL",1885.346417500,0.000000000,0.000000000,0.972680038,0.749147997,0.849377060,0.543214705,0.693893514,0.407285323
Total,County,01079,"Lawrence County, AL",1881.975777500,0.000000000,0.000000000,0.850338613,0.639894778,0.751273297,0.473610567,0.590306151,0.336318352
Total,County,01081,"Lee County, AL",1646.557640000,0.000000000,0.000000000,0.997697032,0.776740020,0.888497953,0.539726203,0.715071648,0.409672467
Total,County,01083,"Limestone County, AL",1604.213975000,0.000000000,0.000000000,0.976887722,0.812934997,0.904924491,0.717202889,0.794944189,0.574523966
Total,County,01085,"Lowndes County, AL",1892.719692500,0.000000000,0.000000000,0.935611331,0.467750014,0.401190940,0.117980967,0.262785909,0.076631977
Total,County,01087,"Macon County, AL",1628.229785000,0.000000000,0.000000000,0.975676025,0.528981757,0.548453875,0.147755208,0.352632941,0.093867253
Total,County,01089,"Madison County, AL",2162.686890000,0.000000000,0.000000000,0.971848821,0.822959283,0.896405611,0.762030002,0.830021430,0.647915449
Total,County,01091,"Marengo County, AL",2522.186712500,0.000000000,0.000000000,0.999624139,0.998830654,0.524618918,0.179035289,0.382418041,0.132846106
Total,County,01093,"Marion County, AL",1929.164737500,0.000000000,0.000000000,0.961779962,0.597269997,0.723505324,0.306197106,0.488943489,0.226153426
Total,County,01095,"Marshall County, AL",1657.722885000,0.000000000,0.000000000,0.988816876,0.759817003,0.851315288,0.454632101,0.637692210,0.319481510
Total,County,01097,"Mobile County, AL",4161.897740000,0.000000000,0.000000000,0.967984410,0.826533711,0.821573193,0.644209354,0.702621988,0.526700749
Total,County,01099,"Monroe County, AL",2663.016265000,0.000000000,0.000000000,0.761885927,0.303654774,0.332489518,0.102325765,0.217783403,0.072937268
Total,County,01101,"Montgomery County, AL",2104.122020000,0.000000000,0.000000000,0.991039247,0.681617942,0.854475370,0.485833000,0.678564277,0.381858230
Total,County,01103,"Morgan County, AL",1582.199482500,0.000000000,0.000000000,0.986818454,0.765062246,0.870581186,0.634578257,0.696491578,0.477997470
Total,County,01105,"Perry County, AL",1876.498487500,0.000000000,0.000000000,0.999887735,0.999550940,0.309458322,0.060735335,0.179623912,0.043222004
Total,County,01107,"Pickens County, AL",2289.191222500,0.000000000,0.000000000,0.937560392,0.425435973,0.461234068,0.135278148,0.301431004,0.096351171
Total,County,01109,"Pike County, AL",1774.325962500,0.000000000,0.000000000,0.974413773,0.501038884,0.566102701,0.228079549,0.380765806,0.166636984
Total,County,01111,"Randolph County, AL",1564.503622500,0.000000000,0.000000000,0.956574429,0.467784286,0.389348953,0.111559954,0.282030566,0.087255100
Total,County,01113,"Russell County, AL",1731.876965000,0.000000000,0.000000000,0.998175404,0.678871184,0.849045128,0.291083810,0.621396424,0.207517334
Total,County,01115,"St. Clair County, AL",1730.928972500,0.000000000,0.000000000,0.996896489,0.736810077,0.827298728,0.482443863,0.660865332,0.336822248
Total,County,01117,"Shelby County, AL",2126.663175000,0.000000000,0.000000000,0.998117880,0.808122833,0.916097078,0.634422982,0.778603269,0.502228826
Total,County,01119,"Sumter County, AL",2334.273532500,0.000000000,0.000000000,0.882496277,0.407021344,0.448986959,0.149948107,0.310906548,0.111231443
Total,County,01121,"Talladega County, AL",2013.430737500,0.000000000,0.000000000,0.997541198,0.706774784,0.828563955,0.427883861,0.640857965,0.309547476
Total,County,01123,"Tallapoosa County, AL",2035.445230000,0.000000000,0.000000000,0.985510246,0.599617057,0.555371559,0.155092113,0.363382323,0.100445042
Total,County,01125,"Tuscaloosa County, AL",3503.780280000,0.000000000,0.000000000,0.942099567,0.561628187,0.653739779,0.347162097,0.484848485,0.265993266
Total,County,01127,"Walker County, AL",2102.120702500,0.000000000,0.000000000,0.993936964,0.744300246,0.828982312,0.431026707,0.577692038,0.293280553
Total,County,01129,"Washington County, AL",2763.819467500,0.000000000,0.000000000,0.734860322,0.260070887,0.416784176,0.126033767,0.275658371,0.088303670
Total,County,01131,"Wilcox County, AL",2342.384135000,0.000000000,0.000000000,0.999910064,0.999775160,0.292427377,0.075906107,0.199523338,0.055850346
Total,County,01133,"Winston County, AL",1651.929597500,0.000000000,0.000000000,0.896830963,0.574061085,0.684945482,0.329401263,0.412229803,0.228081362
Total,County,02013,"Aleutians East Borough, AK",46270.144602500,0.004493748,0.002474521,0.017128145,0.010328335,0.001566210,0.000917417,0.000669282,0.000393829
Total,County,02016,"Aleutians West Census Area, AK",37603.913165000,0.018882247,0.013162391,0.029560058,0.024434037,0.008913115,0.004988768,0.002652646,0.001450972
Total,County,02020,"Anchorage Municipality, AK",5739.567925000,0.449917416,0.357129749,0.488199670,0.270434942,0.267278400,0.163332722,0.103174894,0.062396770
Total,County,02050,"Bethel Census Area, AK",126201.290897500,0.161332351,0.101813420,0.033870479,0.013480252,0.002990511,0.001410540,0.000341367,0.000247888
Total,County,02060,"Bristol Bay Borough, AK",2506.492170000,0.833543453,0.727475206,0.458438393,0.275718608,0.000000000,0.000000000,0.000000000,0.000000000
Total,County,02063,"Chugach Census Area, AK",46165.022767500,0.010812747,0.007837473,0.278516653,0.202412162,0.011070574,0.004951184,0.003741909,0.001569776
Total,County,02066,"Copper River Census Area, AK",75680.347925000,0.036916311,0.018756002,0.209277791,0.085767373,0.030824368,0.006265919,0.020118582,0.004619410
Total,County,02068,"Denali Borough, AK",35291.127462500,0.045343163,0.024742945,0.093411333,0.028169350,0.029208017,0.008509305,0.014439851,0.004706830
Total,County,02070,"Dillingham Census Area, AK",59132.506842500,0.165151081,0.107253616,0.041564762,0.016849279,0.000000000,0.000000000,0.000000000,0.000000000
Total,County,02090,"Fairbanks North Star Borough, AK",20695.940265000,0.277379098,0.173863255,0.341878645,0.131818691,0.195193453,0.072240714,0.093219735,0.037499618
Total,County,02100,"Haines Borough, AK",8613.881185000,0.064112598,0.032747194,0.132284967,0.034715938,0.014722786,0.001112769,0.012521705,0.000807063
Total,County,02105,"Hoonah-Angoon Census Area, AK",30433.087230000,0.036092536,0.019960266,0.209477233,0.126652684,0.092031122,0.036608243,0.081779291,0.032174551
Total,County,02110,"Juneau City and Borough, AK",10139.095785000,0.125049347,0.091753413,0.112177689,0.045284548,0.046614307,0.022450082,0.023198072,0.011074404
Total,County,02122,"Kenai Peninsula Borough, AK",73365.244907500,0.251270978,0.192424815,0.270976338,0.073773422,0.044415666,0.015808796,0.021614878,0.007530391
Total,County,02130,"Ketchikan Gateway Borough, AK",20741.127907500,0.107525735,0.067837754,0.067375616,0.027982185,0.030831188,0.014463387,0.017906567,0.006480085
Total,County,02150,"Kodiak Island Borough, AK",37649.627470000,0.029045759,0.020669435,0.058832910,0.023763695,0.020921228,0.011076109,0.005673743,0.002509540
Total,County,02158,"Kusilvak Census Area, AK",52158.863347500,0.249873279,0.162358158,0.027509022,0.013843367,0.000000000,0.000000000,0.000000000,0.000000000
Total,County,02164,"Lake and Peninsula Borough, AK",101565.915132500,0.016732331,0.006959878,0.034860579,0.012824595,0.000000000,0.000000000,0.000000000,0.000000000
Total,County,02170,"Matanuska-Susitna Borough, AK",72538.384782500,0.132339424,0.085807095,0.238159268,0.074659375,0.090481383,0.030891832,0.033752456,0.014770693
Total,County,02180,"Nome Census Area, AK",71716.475285000,0.116652812,0.073489626,0.051568756,0.019102368,0.002692191,0.001982792,0.000396558,0.000286403
Total,County,02185,"North Slope Borough, AK",237753.359025000,0.039055100,0.025080521,0.054761936,0.024934320,0.002268770,0.001153657,0.000445248,0.000254744
Total,County,02188,"Northwest Arctic Borough, AK",101821.767775000,0.086484529,0.056172220,0.054624639,0.031711960,0.003017576,0.001169996,0.000156206,0.000111724
Total,County,02195,"Petersburg Borough, AK",11940.176202500,0.121606959,0.067582946,0.137433065,0.045237612,0.016055471,0.001182106,0.013126671,0.001182106
Total,County,02198,"Prince of Wales-Hyder Census Area, AK",34900.133222500,0.048908500,0.029927596,0.148207393,0.050825001,0.041405474,0.013696191,0.033760597,0.011565404
Total,County,02220,"Sitka City and Borough, AK",15497.570725000,0.131142527,0.085883233,0.099381499,0.032359138,0.029511317,0.017263644,0.004968395,0.003520696
Total,County,02230,"Skagway Municipality, AK",1385.227707500,0.009657060,0.002889514,0.080526196,0.039920919,0.028895141,0.011177857,0.016424606,0.006387347
Total,County,02240,"Southeast Fairbanks Census Area, AK",72740.623182500,0.082534851,0.048485261,0.151440599,0.043205649,0.041075558,0.010922687,0.019011528,0.004808994
Total,County,02275,"Wrangell City and Borough, AK",10864.626045000,0.076590464,0.049580207,0.068630873,0.026796967,0.028115487,0.016248812,0.007494231,0.003461113
Total,County,02282,"Yakutat City and Borough, AK",29471.190840000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
Total,County,02290,"Yukon-Koyukuk Census Area, AK",396170.700380000,0.006872377,0.003737958,0.010824366,0.002985528,0.003798578,0.000545579,0.001945419,0.000438696
Total,County,04001,"Apache County, AZ",25459.918575000,0.146530967,0.098204460,0.783178189,0.360138182,0.187625667,0.049774523,0.131517107,0.027413016
Total,County,04003,"Cochise County, AZ",13705.970232500,0.000000000,0.000000000,0.846911721,0.567456444,0.727146272,0.395601018,0.647397422,0.242351350
Total,County,04005,"Coconino County, AZ",42697.898197500,0.002629742,0.001379011,0.693995259,0.301976253,0.291790321,0.078418603,0.188349701,0.037388711
Total,County,04007,"Gila County, AZ",10740.965690000,0.008570980,0.005491704,0.551847566,0.227680147,0.269917232,0.060957910,0.170909661,0.038245793
Total,County,04009,"Graham County, AZ",10309.839767500,0.000000000,0.000000000,0.597104588,0.251218341,0.322888464,0.110135984,0.224920565,0.058715353
Total,County,04011,"Greenlee County, AZ",4109.547487500,0.000000000,0.000000000,0.494245803,0.243137255,0.294040754,0.104780213,0.229475843,0.077944380
Total,County,04012,"La Paz County, AZ",10192.288697500,0.000000000,0.000000000,0.815518328,0.460165559,0.612599857,0.214627492,0.462769860,0.119663508
Total,County,04013,"Maricopa County, AZ",20676.559085000,0.000000000,0.000000000,0.831113919,0.558874772,0.695366229,0.416799967,0.591121662,0.319035344
Total,County,04015,"Mohave County, AZ",30950.059140000,0.000000000,0.000000000,0.608582455,0.323552234,0.393459528,0.195935092,0.347463857,0.154149310
Total,County,04017,"Navajo County, AZ",22621.102367500,0.192215460,0.131957217,0.757253479,0.398595635,0.243156282,0.080550757,0.197882277,0.045213472
Total,County,04019,"Pima County, AZ",20369.304182500,0.000000000,0.000000000,0.781529726,0.417993495,0.337442665,0.234749019,0.286191508,0.189434329
Total,County,04021,"Pinal County, AZ",11966.298662500,0.000000000,0.000000000,0.898103076,0.631855992,0.717811716,0.484432903,0.649135161,0.381259628
Total,County,04023,"Santa Cruz County, AZ",2726.110432500,0.000000000,0.000000000,0.791468645,0.438275183,0.658398053,0.262663730,0.514470075,0.109423902
Total,County,04025,"Yavapai County, AZ",18409.277022500,0.000000000,0.000000000,0.752862284,0.364713085,0.562775715,0.201066526,0.403208734,0.105044830
Total,County,04027,"Yuma County, AZ",12372.671447500,0.000000000,0.000000000,0.598162826,0.287060606,0.393179129,0.161889276,0.280931017,0.099682453
Total,County,05001,"Arkansas County, AR",2575.063627500,0.000000000,0.000000000,0.874258600,0.489630630,0.628379760,0.300609482,0.504479077,0.242197407
Total,County,05003,"Ashley County, AR",2302.884447500,0.000000000,0.000000000,0.917989297,0.390980195,0.606001006,0.202396743,0.356492705,0.152632301
Total,County,05005,"Baxter County, AR",1464.016417500,0.000000000,0.000000000,0.916900496,0.506870998,0.624001727,0.275199655,0.476724944,0.210374847
Total,County,05007,"Benton County, AR",2164.688207500,0.000000000,0.000000000,0.999221449,0.858303732,0.933677193,0.734806092,0.797528101,0.571359058
Total,County,05009,"Boone County, AR",1491.086870000,0.000000000,0.000000000,0.962630687,0.665442215,0.707685787,0.318946030,0.570076293,0.223014976
Total,County,05011,"Bradley County, AR",1592.838065000,0.000000000,0.000000000,0.903253538,0.281973284,0.447956619,0.143036635,0.267623330,0.108517392
Total,County,05013,"Calhoun County, AR",1540.803810000,0.000000000,0.000000000,0.835042384,0.209939841,0.390825814,0.091673503,0.240702762,0.065149029
Total,County,05015,"Carroll County, AR",1574.615542500,0.000000000,0.000000000,0.982674426,0.673958124,0.750953241,0.315606395,0.561107766,0.206167637
Total,County,05017,"Chicot County, AR",1702.910527500,0.000000000,0.000000000,0.979711759,0.778499412,0.858848271,0.365683182,0.739716707,0.262324488
Total,County,05019,"Clark County, AR",2141.409725000,0.000000000,0.000000000,0.892966060,0.331578947,0.505263158,0.187161830,0.274520413,0.123757993
Total,County,05021,"Clay County, AR",1638.763035000,0.000000000,0.000000000,0.997814629,0.704910657,0.835454429,0.286990616,0.651690449,0.161910271
Total,County,05023,"Cleburne County, AR",1472.653682500,0.000000000,0.000000000,0.953508333,0.643301624,0.800514985,0.479507904,0.528574494,0.248050926
Total,County,05025,"Cleveland County, AR",1466.017735000,0.000000000,0.000000000,0.950064664,0.242635436,0.324615606,0.072927145,0.191119414,0.056761029
Total,County,05027,"Columbia County, AR",1847.532050000,0.000000000,0.000000000,0.867901938,0.288312429,0.437001140,0.138198404,0.301083238,0.100285063
Total,County,05029,"Conway County, AR",1395.339627500,0.000000000,0.000000000,0.980372915,0.675549181,0.762436778,0.365063788,0.569940364,0.243677814
Total,County,05031,"Craighead County, AR",1807.716365000,0.000000000,0.000000000,0.999825195,0.913122014,0.963174455,0.747057453,0.900244727,0.557685584
Total,County,05033,"Crawford County, AR",1472.548350000,0.000000000,0.000000000,0.873962804,0.628612303,0.748569385,0.525822604,0.570314735,0.397997139
Total,County,05035,"Crittenden County, AR",1631.284427500,0.000000000,0.000000000,0.987085943,0.792083683,0.932136631,0.615935946,0.815651837,0.445857816
Total,County,05037,"Cross County, AR",1567.663597500,0.000000000,0.000000000,0.991533965,0.687025465,0.847141033,0.354699993,0.682456494,0.267687966
